year,Season,Location_district,Crop_nam,harvested,Productio,yields =production/Extent
2001.0,Maha,Ampara,Beans,0.0,2.0,0.0
2001.0,Maha,Ampara,Beetroot,0.0,0.0,0.0
2001.0,Maha,Ampara,Cabbage,1.0,4.0,4.0
2001.0,Maha,Ampara,Carrot,0.0,0.0,0.0
2001.0,Maha,Ampara,Tomatoes,99.0,948.0,9.575757575757576
2001.0,Maha,Anuradhapura,Beans,4.0,16.0,4.0
2001.0,Maha,Anuradhapura,Beetroot,6.0,26.0,4.333333333333333
2001.0,Maha,Anuradhapura,Cabbage,5.0,25.0,5.0
2001.0,Maha,Anuradhapura,Carrot,0.0,0.0,0.0
2001.0,Maha,Anuradhapura,Tomatoes,222.0,896.0,4.036036036036036
2001.0,Maha,Badulla,Beans,2721.0,15811.0,5.810731348768835
2001.0,Maha,Badulla,Beetroot,301.0,3444.0,11.44186046511628
2001.0,Maha,Badulla,Cabbage,1177.0,21822.0,18.54035683942226
2001.0,Maha,Badulla,Carrot,693.0,7225.0,10.425685425685426
2001.0,Maha,Badulla,Tomatoes,1354.0,12799.0,9.452732644017726
2001.0,Maha,Batticaloa,Beans,0.0,0.0,0.0
2001.0,Maha,Batticaloa,Beetroot,0.0,0.0,0.0
2001.0,Maha,Batticaloa,Cabbage,0.0,0.0,0.0
2001.0,Maha,Batticaloa,Carrot,0.0,0.0,0.0
2001.0,Maha,Batticaloa,Tomatoes,110.0,619.0,5.627272727272727
2001.0,Maha,Colombo,Beans,0.0,0.0,0.0
2001.0,Maha,Colombo,Beetroot,0.0,0.0,0.0
2001.0,Maha,Colombo,Cabbage,0.0,0.0,0.0
2001.0,Maha,Colombo,Carrot,0.0,0.0,0.0
2001.0,Maha,Colombo,Tomatoes,1.0,2.0,2.0
2001.0,Maha,Galle,Beans,0.0,0.0,0.0
2001.0,Maha,Galle,Beetroot,0.0,0.0,0.0
2001.0,Maha,Galle,Cabbage,0.0,0.0,0.0
2001.0,Maha,Galle,Carrot,0.0,0.0,0.0
2001.0,Maha,Galle,Tomatoes,2.0,9.0,4.5
2001.0,Maha,Gampaha,Beans,0.0,0.0,0.0
2001.0,Maha,Gampaha,Beetroot,0.0,0.0,0.0
2001.0,Maha,Gampaha,Cabbage,0.0,0.0,0.0
2001.0,Maha,Gampaha,Carrot,0.0,0.0,0.0
2001.0,Maha,Gampaha,Tomatoes,0.0,1.0,0.0
2001.0,Maha,Hanbantota,Beans,0.0,0.0,0.0
2001.0,Maha,Hanbantota,Beetroot,0.0,0.0,0.0
