year,month,Location_district,Crop_nam,harvested,Productio,yield
2001,January,Ampara,Beans,0.0,0.3333333333333333,0.0
2001,January,Ampara,Beetroot,0.0,0.0,0.0
2001,January,Ampara,Cabbage,0.16666666666666666,0.6666666666666666,4.0
2001,January,Ampara,Carrot,0.0,0.0,0.0
2001,January,Ampara,Tomatoes,16.5,158.0,9.575757575757576
2001,January,Anuradhapura,Beans,0.6666666666666666,2.6666666666666665,4.0
2001,January,Anuradhapura,Beetroot,1.0,4.333333333333333,4.333333333333333
2001,January,Anuradhapura,Cabbage,0.8333333333333334,4.166666666666667,5.0
2001,January,Anuradhapura,Carrot,0.0,0.0,0.0
2001,January,Anuradhapura,Tomatoes,37.0,149.33333333333334,4.036036036036037
2001,January,Badulla,Beans,453.5,2635.1666666666665,5.810731348768835
2001,January,Badulla,Beetroot,50.166666666666664,574.0,11.44186046511628
2001,January,Badulla,Cabbage,196.16666666666666,3637.0,18.540356839422262
2001,January,Badulla,Carrot,115.5,1204.1666666666667,10.425685425685426
2001,January,Badulla,Tomatoes,225.66666666666666,2133.1666666666665,9.452732644017726
2001,January,Batticaloa,Beans,0.0,0.0,0.0
2001,January,Batticaloa,Beetroot,0.0,0.0,0.0
2001,January,Batticaloa,Cabbage,0.0,0.0,0.0
2001,January,Batticaloa,Carrot,0.0,0.0,0.0
2001,January,Batticaloa,Tomatoes,18.333333333333332,103.16666666666667,5.627272727272728
2001,January,Colombo,Beans,0.0,0.0,0.0
2001,January,Colombo,Beetroot,0.0,0.0,0.0
2001,January,Colombo,Cabbage,0.0,0.0,0.0
2001,January,Colombo,Carrot,0.0,0.0,0.0
2001,January,Colombo,Tomatoes,0.16666666666666666,0.3333333333333333,2.0
2001,January,Galle,Beans,0.0,0.0,0.0
2001,January,Galle,Beetroot,0.0,0.0,0.0
2001,January,Galle,Cabbage,0.0,0.0,0.0
2001,January,Galle,Carrot,0.0,0.0,0.0
2001,January,Galle,Tomatoes,0.3333333333333333,1.5,4.5
2001,January,Gampaha,Beans,0.0,0.0,0.0
2001,January,Gampaha,Beetroot,0.0,0.0,0.0
2001,January,Gampaha,Cabbage,0.0,0.0,0.0
2001,January,Gampaha,Carrot,0.0,0.0,0.0
2001,January,Gampaha,Tomatoes,0.0,0.16666666666666666,0.0
2001,January,Hanbantota,Beans,0.0,0.0,0.0
2001,January,Hanbantota,Beetroot,0.0,0.0,0.0
2001,January,Hanbantota,Cabbage,0.0,0.0,0.0
2001,January,Hanbantota,Carrot,0.0,0.0,0.0
2001,January,Hanbantota,Tomatoes,32.833333333333336,173.83333333333334,5.2944162436548226
2001,January,Jaffna,Beans,10.333333333333334,56.0,5.419354838709677
2001,January,Jaffna,Beetroot,7.833333333333333,61.666666666666664,7.872340425531915
2001,January,Jaffna,Cabbage,8.166666666666666,67.33333333333333,8.244897959183673
2001,January,Jaffna,Carrot,11.0,87.0,7.909090909090909
2001,January,Jaffna,Tomatoes,12.0,103.66666666666667,8.63888888888889
2001,January,Kaluthara,Beans,0.0,0.0,0.0
2001,January,Kaluthara,Beetroot,0.0,0.0,0.0
2001,January,Kaluthara,Cabbage,0.0,0.0,0.0
2001,January,Kaluthara,Carrot,0.0,0.0,0.0
2001,January,Kaluthara,Tomatoes,0.16666666666666666,0.6666666666666666,4.0
2001,January,Kandy,Beans,104.0,250.83333333333334,2.4118589743589745
2001,January,Kandy,Beetroot,12.833333333333334,45.666666666666664,3.558441558441558
2001,January,Kandy,Cabbage,84.5,361.8333333333333,4.282051282051282
2001,January,Kandy,Carrot,17.5,49.666666666666664,2.838095238095238
